watched_tv,play_with_pets,code_written,had_coffee,happiness_value
Yes,No,1056,No,2
No,Yes,457,Yes,3
Yes,No,1210,No,2
No,Yes,99,Yes,9
Yes,No,123,No,7
No,Yes,1492,Yes,1
Yes,No,1432,No,3
No,Yes,1472,Yes,4
Yes,No,1366,No,6
No,Yes,1306,Yes,4
Yes,No,233,No,0
No,Yes,884,Yes,10
Yes,No,1013,No,2
No,Yes,1427,Yes,0
Yes,No,1350,No,7
No,Yes,1176,Yes,7
Yes,No,611,No,4
No,Yes,1451,Yes,5
Yes,No,841,No,5
No,Yes,493,Yes,6
Yes,No,42,No,5
No,Yes,980,Yes,1
Yes,No,489,No,2
No,Yes,670,Yes,9
Yes,No,154,No,9
No,Yes,1372,Yes,1
Yes,No,977,No,8
No,Yes,814,Yes,0
Yes,No,532,No,1
No,Yes,92,Yes,2
Yes,No,783,No,0
No,Yes,49,Yes,10
Yes,No,704,No,5
No,Yes,1261,Yes,6
Yes,No,1470,No,0
No,Yes,595,Yes,5
Yes,No,1115,No,3
No,Yes,1169,Yes,8
Yes,No,448,No,10
No,Yes,452,Yes,6
Yes,No,683,No,4
No,Yes,79,Yes,6
Yes,No,1038,No,7
No,Yes,802,Yes,8
Yes,No,1028,No,2
No,Yes,1446,Yes,7
Yes,No,413,No,4
No,Yes,1483,Yes,5
Yes,No,739,No,2
No,Yes,107,Yes,8
Yes,No,731,No,10
No,Yes,364,Yes,0
Yes,No,238,No,9
No,Yes,1496,Yes,2
Yes,No,524,No,5
No,Yes,900,Yes,5
Yes,No,289,No,3
No,Yes,917,Yes,8
Yes,No,569,No,9
No,Yes,559,Yes,2
Yes,No,1224,No,7
No,Yes,246,Yes,7
Yes,No,1422,No,3
No,Yes,1011,Yes,10
Yes,No,831,No,4
No,Yes,790,Yes,3
Yes,No,505,No,1
No,Yes,510,Yes,2
Yes,No,1436,No,1
No,Yes,960,Yes,0
Yes,No,1310,No,3
No,Yes,1202,Yes,9
Yes,No,1390,No,6
No,Yes,563,Yes,10
Yes,No,64,No,2
No,Yes,148,Yes,6
Yes,No,1160,No,8
No,Yes,667,Yes,0
Yes,No,999,No,3
No,Yes,436,Yes,3
Yes,No,219,No,0
No,Yes,398,Yes,9
Yes,No,619,No,2
No,Yes,406,Yes,4
Yes,No,457,No,6
No,Yes,1039,Yes,7
Yes,No,260,No,10
No,Yes,566,Yes,7
Yes,No,443,No,5
No,Yes,1396,Yes,3
Yes,No,1241,No,2
No,Yes,173,Yes,2
Yes,No,541,No,9
No,Yes,172,Yes,2
Yes,No,789,No,3
No,Yes,601,Yes,5
Yes,No,1125,No,7
No,Yes,282,Yes,0
Yes,No,1412,No,9
No,Yes,903,Yes,1
Yes,No,981,No,6
No,Yes,750,Yes,9
Yes,No,284,No,4
No,Yes,1244,Yes,1
Yes,No,258,No,10
No,Yes,119,Yes,3
Yes,No,13,No,2
No,Yes,29,Yes,6
Yes,No,594,No,2
No,Yes,1163,Yes,5
Yes,No,858,No,8
No,Yes,1078,Yes,8
Yes,No,99,No,0
No,Yes,968,Yes,5
Yes,No,745,No,1
No,Yes,601,Yes,8
Yes,No,63,No,6
No,Yes,619,Yes,9
Yes,No,472,No,1
No,Yes,1050,Yes,1
Yes,No,806,No,8
No,Yes,1194,Yes,5
Yes,No,701,No,3
No,Yes,1495,Yes,0
Yes,No,143,No,9
No,Yes,712,Yes,10
Yes,No,528,No,10
No,Yes,450,Yes,9
Yes,No,177,No,5
No,Yes,174,Yes,3
Yes,No,864,No,10
No,Yes,465,Yes,6
Yes,No,1200,No,3
No,Yes,596,Yes,1
Yes,No,1348,No,2
No,Yes,363,Yes,5
Yes,No,1002,No,1
No,Yes,1464,Yes,2
Yes,No,952,No,1
No,Yes,205,Yes,7
Yes,No,529,No,3
No,Yes,488,Yes,9
Yes,No,462,No,9
No,Yes,1033,Yes,6
Yes,No,450,No,2
No,Yes,437,Yes,1
Yes,No,540,No,2
No,Yes,705,Yes,1
Yes,No,649,No,5
No,Yes,683,Yes,5
Yes,No,992,No,6
No,Yes,1140,Yes,1
Yes,No,985,No,9
No,Yes,1013,Yes,2
Yes,No,1288,No,2
No,Yes,71,Yes,8
Yes,No,977,No,7
No,Yes,896,Yes,10
Yes,No,871,No,4
No,Yes,1021,Yes,9
Yes,No,1466,No,2
No,Yes,1160,Yes,7
Yes,No,751,No,3
No,Yes,291,Yes,9
Yes,No,662,No,7
No,Yes,525,Yes,0
Yes,No,941,No,6
No,Yes,797,Yes,7
Yes,No,199,No,5
No,Yes,1065,Yes,8
Yes,No,126,No,9
No,Yes,480,Yes,7
Yes,No,767,No,0
No,Yes,935,Yes,9
Yes,No,895,No,7
No,Yes,597,Yes,6
Yes,No,1291,No,0
No,Yes,767,Yes,4
Yes,No,1271,No,7
No,Yes,365,Yes,3
Yes,No,260,No,3
No,Yes,1425,Yes,5
Yes,No,1392,No,7
No,Yes,591,Yes,8
Yes,No,94,No,2
No,Yes,1270,Yes,8
Yes,No,603,No,3
No,Yes,295,Yes,10
Yes,No,1127,No,2
No,Yes,1106,Yes,0
Yes,No,1069,No,4
No,Yes,530,Yes,0
Yes,No,275,No,5
No,Yes,1351,Yes,2
Yes,No,335,No,0
No,Yes,782,Yes,3
Yes,No,91,No,7
No,Yes,871,Yes,10
Yes,No,202,No,10
No,Yes,676,Yes,8
Yes,No,889,No,5
No,Yes,1428,Yes,1
Yes,No,231,No,5
No,Yes,1229,Yes,10
Yes,No,1296,No,9
No,Yes,851,Yes,4
Yes,No,843,No,8
No,Yes,684,Yes,9
Yes,No,585,No,7
No,Yes,1046,Yes,5
Yes,No,1347,No,6
No,Yes,9,Yes,7
Yes,No,239,No,6
No,Yes,758,Yes,8
Yes,No,19,No,10
No,Yes,521,Yes,3
Yes,No,574,No,0
No,Yes,496,Yes,5
Yes,No,973,No,3
No,Yes,35,Yes,1
Yes,No,495,No,4
No,Yes,1439,Yes,7
Yes,No,1133,No,1
No,Yes,532,Yes,7
Yes,No,906,No,2
No,Yes,1407,Yes,3
Yes,No,503,No,9
No,Yes,1056,Yes,2
Yes,No,322,No,2
No,Yes,400,Yes,0
Yes,No,790,No,2
No,Yes,179,Yes,4
Yes,No,1443,No,5
No,Yes,1435,Yes,3
Yes,No,1117,No,6
No,Yes,705,Yes,10
Yes,No,357,No,4
No,Yes,341,Yes,5
Yes,No,741,No,5
No,Yes,592,Yes,10
Yes,No,503,No,7
No,Yes,532,Yes,10
Yes,No,48,No,8
No,Yes,124,Yes,9
Yes,No,591,No,9
No,Yes,817,Yes,10
Yes,No,1240,No,4
No,Yes,1062,Yes,1
Yes,No,961,No,8
No,Yes,657,Yes,2
Yes,No,666,No,4
No,Yes,777,Yes,6
Yes,No,501,No,5
No,Yes,1139,Yes,8
Yes,No,455,No,1
No,Yes,742,Yes,3
Yes,No,785,No,7
No,Yes,285,Yes,9
Yes,No,1,No,8
No,Yes,579,Yes,3
Yes,No,1056,No,1
No,Yes,919,Yes,6
Yes,No,1350,No,4
No,Yes,895,Yes,1
Yes,No,58,No,4
No,Yes,574,Yes,9
Yes,No,1419,No,7
No,Yes,861,Yes,9
Yes,No,1066,No,9
No,Yes,392,Yes,5
Yes,No,322,No,1
No,Yes,1101,Yes,6
Yes,No,263,No,1
No,Yes,948,Yes,4
Yes,No,388,No,4
No,Yes,112,Yes,0
Yes,No,1006,No,6
No,Yes,245,Yes,3
Yes,No,386,No,8
No,Yes,182,Yes,3
Yes,No,1489,No,7
No,Yes,155,Yes,4
Yes,No,1448,No,5
No,Yes,224,Yes,3
Yes,No,1120,No,6
No,Yes,1260,Yes,5
Yes,No,220,No,0
No,Yes,310,Yes,1
Yes,No,407,No,1
No,Yes,63,Yes,1
Yes,No,1467,No,7
No,Yes,1408,Yes,0
Yes,No,623,No,4
No,Yes,1107,Yes,6
Yes,No,253,No,1
No,Yes,209,Yes,4
Yes,No,1148,No,7
No,Yes,287,Yes,2
Yes,No,971,No,5
No,Yes,884,Yes,7
Yes,No,279,No,8
No,Yes,290,Yes,1
Yes,No,668,No,0
No,Yes,105,Yes,1
Yes,No,494,No,8
No,Yes,747,Yes,8
Yes,No,330,No,10
No,Yes,610,Yes,1
Yes,No,272,No,2
No,Yes,1294,Yes,2
Yes,No,204,No,9
No,Yes,837,Yes,6
Yes,No,1351,No,9
No,Yes,23,Yes,8
Yes,No,852,No,0
No,Yes,992,Yes,9
Yes,No,739,No,3
No,Yes,1069,Yes,5
Yes,No,260,No,2
No,Yes,1158,Yes,1
Yes,No,484,No,4
No,Yes,342,Yes,9
Yes,No,596,No,6
No,Yes,1420,Yes,9
Yes,No,341,No,5
No,Yes,1107,Yes,5
Yes,No,720,No,9
No,Yes,1081,Yes,0
Yes,No,257,No,8
No,Yes,988,Yes,2
Yes,No,722,No,9
No,Yes,1304,Yes,8
Yes,No,429,No,9
No,Yes,181,Yes,1
Yes,No,1106,No,4
No,Yes,1263,Yes,10
Yes,No,826,No,9
No,Yes,994,Yes,10
Yes,No,836,No,5
No,Yes,810,Yes,8
Yes,No,1029,No,0
No,Yes,881,Yes,1
Yes,No,76,No,5
No,Yes,1014,Yes,5
Yes,No,348,No,7
No,Yes,736,Yes,8
Yes,No,0,No,2
No,Yes,962,Yes,4
Yes,No,1303,No,8
No,Yes,1187,Yes,9
Yes,No,933,No,0
No,Yes,162,Yes,3
Yes,No,995,No,9
No,Yes,1037,Yes,10
Yes,No,29,No,3
No,Yes,1221,Yes,10
Yes,No,781,No,0
No,Yes,1226,Yes,4
Yes,No,86,No,3
No,Yes,236,Yes,2
Yes,No,670,No,7
No,Yes,1341,Yes,10
Yes,No,530,No,3
No,Yes,20,Yes,3
Yes,No,1487,No,5
No,Yes,1278,Yes,4
Yes,No,605,No,2
No,Yes,843,Yes,0
Yes,No,155,No,10
No,Yes,1078,Yes,0
Yes,No,165,No,7
No,Yes,952,Yes,2
Yes,No,1459,No,2
No,Yes,270,Yes,10
Yes,No,369,No,9
No,Yes,842,Yes,5
Yes,No,291,No,3
No,Yes,1081,Yes,9
Yes,No,597,No,6
No,Yes,321,Yes,0
Yes,No,454,No,10
No,Yes,1421,Yes,0
Yes,No,121,No,10
No,Yes,1387,Yes,10
Yes,No,484,No,10
No,Yes,282,Yes,0
Yes,No,255,No,6
No,Yes,566,Yes,9
Yes,No,664,No,7
No,Yes,340,Yes,7
Yes,No,572,No,0
No,Yes,21,Yes,10
Yes,No,1147,No,4
No,Yes,1256,Yes,2
Yes,No,691,No,7
No,Yes,1491,Yes,1
Yes,No,422,No,1
No,Yes,876,Yes,10
Yes,No,1133,No,7
No,Yes,553,Yes,6
Yes,No,861,No,8
No,Yes,707,Yes,7
Yes,No,1257,No,0
No,Yes,456,Yes,5
Yes,No,1303,No,8
No,Yes,709,Yes,0
Yes,No,786,No,3
No,Yes,605,Yes,1
Yes,No,1460,No,4
No,Yes,237,Yes,4
Yes,No,692,No,2
No,Yes,1365,Yes,4
Yes,No,504,No,8
No,Yes,1314,Yes,8
Yes,No,525,No,7
No,Yes,860,Yes,0
Yes,No,312,No,5
No,Yes,404,Yes,8
Yes,No,449,No,7
No,Yes,281,Yes,8
Yes,No,85,No,0
No,Yes,1272,Yes,6
Yes,No,435,No,1
No,Yes,1244,Yes,2
Yes,No,1330,No,9
No,Yes,548,Yes,9
Yes,No,1261,No,1
No,Yes,1268,Yes,4
Yes,No,1083,No,9
No,Yes,159,Yes,4
Yes,No,1344,No,4
No,Yes,1435,Yes,9
Yes,No,498,No,2
No,Yes,334,Yes,5
Yes,No,1402,No,2
No,Yes,663,Yes,9
Yes,No,216,No,5
No,Yes,1332,Yes,10
Yes,No,74,No,3
No,Yes,1460,Yes,9
Yes,No,851,No,1
No,Yes,1016,Yes,10
Yes,No,861,No,0
No,Yes,72,Yes,3
Yes,No,1220,No,2
No,Yes,865,Yes,7
Yes,No,1205,No,6
No,Yes,1386,Yes,6
Yes,No,581,No,6
No,Yes,1045,Yes,4
Yes,No,953,No,0
No,Yes,666,Yes,6
Yes,No,333,No,9
No,Yes,118,Yes,8
Yes,No,358,No,1
No,Yes,999,Yes,1
Yes,No,330,No,7
No,Yes,766,Yes,5
Yes,No,579,No,7
No,Yes,351,Yes,8
Yes,No,1383,No,1
No,Yes,780,Yes,10
Yes,No,227,No,4
No,Yes,468,Yes,1
Yes,No,1114,No,0
No,Yes,1312,Yes,6
Yes,No,348,No,3
No,Yes,1128,Yes,2
Yes,No,845,No,0
No,Yes,39,Yes,10
Yes,No,921,No,4
No,Yes,902,Yes,2
Yes,No,875,No,3
No,Yes,947,Yes,10
Yes,No,1047,No,1
No,Yes,1328,Yes,8
Yes,No,1347,No,4
No,Yes,81,Yes,5
Yes,No,565,No,5
No,Yes,1064,Yes,8
Yes,No,1377,No,0
No,Yes,181,Yes,0
Yes,No,586,No,1
No,Yes,899,Yes,8
Yes,No,1236,No,1
No,Yes,1483,Yes,7
Yes,No,324,No,1
No,Yes,296,Yes,9
Yes,No,1228,No,7
No,Yes,1110,Yes,6
Yes,No,760,No,4
No,Yes,215,Yes,6
Yes,No,835,No,7
No,Yes,674,Yes,4
Yes,No,301,No,7
No,Yes,698,Yes,9
Yes,No,873,No,5
No,Yes,525,Yes,8
Yes,No,445,No,7
No,Yes,281,Yes,2
Yes,No,986,No,8
No,Yes,447,Yes,8
Yes,No,130,No,1
No,Yes,32,Yes,1
Yes,No,748,No,6
No,Yes,896,Yes,7
Yes,No,926,No,6
No,Yes,729,Yes,2
Yes,No,819,No,4
No,Yes,763,Yes,1
Yes,No,935,No,5
No,Yes,1264,Yes,6
Yes,No,981,No,9
No,Yes,723,Yes,4
Yes,No,67,No,4
No,Yes,486,Yes,5
Yes,No,973,No,10
No,Yes,1460,Yes,5
Yes,No,709,No,3
No,Yes,717,Yes,10
Yes,No,698,No,6
No,Yes,1101,Yes,3
Yes,No,590,No,1
No,Yes,1103,Yes,3
Yes,No,1416,No,2
No,Yes,1082,Yes,9
Yes,No,329,No,7
No,Yes,1233,Yes,4
Yes,No,1109,No,0
No,Yes,677,Yes,3
Yes,No,156,No,4
No,Yes,775,Yes,6
Yes,No,890,No,3
No,Yes,48,Yes,3
Yes,No,947,No,6
No,Yes,841,Yes,5
Yes,No,1117,No,2
No,Yes,1261,Yes,3
Yes,No,1252,No,1
No,Yes,873,Yes,1
Yes,No,388,No,0
No,Yes,1246,Yes,6
Yes,No,858,No,9
No,Yes,806,Yes,2
Yes,No,611,No,0
No,Yes,1006,Yes,2
Yes,No,133,No,0
No,Yes,12,Yes,7
Yes,No,346,No,6
No,Yes,607,Yes,10
Yes,No,197,No,1
No,Yes,190,Yes,3
Yes,No,1131,No,8
No,Yes,693,Yes,10
Yes,No,1009,No,10
No,Yes,902,Yes,1
Yes,No,1396,No,1
No,Yes,1252,Yes,10
Yes,No,417,No,1
No,Yes,157,Yes,6
Yes,No,76,No,8
No,Yes,1392,Yes,7
Yes,No,474,No,4
No,Yes,584,Yes,7
Yes,No,361,No,5
No,Yes,781,Yes,8
Yes,No,316,No,9
No,Yes,982,Yes,0
Yes,No,1337,No,7
No,Yes,787,Yes,6
Yes,No,1361,No,5
No,Yes,342,Yes,8
Yes,No,36,No,10
No,Yes,809,Yes,3
Yes,No,185,No,8
No,Yes,23,Yes,3
Yes,No,814,No,7
No,Yes,1108,Yes,10
Yes,No,399,No,9
No,Yes,1000,Yes,7
Yes,No,154,No,6
No,Yes,317,Yes,2
Yes,No,1496,No,9
No,Yes,636,Yes,0
Yes,No,854,No,10
No,Yes,29,Yes,6
Yes,No,353,No,2
No,Yes,997,Yes,8
Yes,No,1309,No,0
No,Yes,820,Yes,8
Yes,No,1124,No,7
No,Yes,836,Yes,3
Yes,No,5,No,9
No,Yes,1418,Yes,8
Yes,No,212,No,0
No,Yes,1168,Yes,10
Yes,No,1401,No,1
No,Yes,255,Yes,5
Yes,No,767,No,3
No,Yes,931,Yes,1
Yes,No,626,No,4
No,Yes,946,Yes,9
Yes,No,672,No,0
No,Yes,546,Yes,8
Yes,No,1494,No,4
No,Yes,1302,Yes,10
Yes,No,1129,No,4
No,Yes,327,Yes,5
Yes,No,601,No,6
No,Yes,436,Yes,3
Yes,No,122,No,10
No,Yes,918,Yes,8
Yes,No,1496,No,2
No,Yes,1008,Yes,1
Yes,No,435,No,2
No,Yes,467,Yes,7
Yes,No,905,No,1
No,Yes,450,Yes,8
Yes,No,1053,No,8
No,Yes,1490,Yes,8
Yes,No,445,No,5
No,Yes,828,Yes,10
Yes,No,1024,No,6
No,Yes,308,Yes,6
Yes,No,55,No,5
No,Yes,357,Yes,10
Yes,No,476,No,0
No,Yes,1449,Yes,6
Yes,No,579,No,10
No,Yes,118,Yes,7
Yes,No,898,No,8
No,Yes,896,Yes,1
Yes,No,556,No,1
No,Yes,721,Yes,1
Yes,No,1424,No,6
No,Yes,1478,Yes,7
Yes,No,678,No,2
No,Yes,543,Yes,2
Yes,No,1336,No,1
No,Yes,1178,Yes,0
Yes,No,350,No,10
No,Yes,383,Yes,1
Yes,No,881,No,6
No,Yes,1151,Yes,5
Yes,No,155,No,2
No,Yes,502,Yes,0
Yes,No,391,No,7
No,Yes,1416,Yes,8
Yes,No,1012,No,3
No,Yes,513,Yes,10
Yes,No,466,No,2
No,Yes,696,Yes,6
Yes,No,631,No,2
No,Yes,340,Yes,7
Yes,No,37,No,0
No,Yes,586,Yes,0
Yes,No,1051,No,4
No,Yes,847,Yes,0
Yes,No,86,No,7
No,Yes,1497,Yes,1
Yes,No,721,No,6
No,Yes,1476,Yes,6
Yes,No,734,No,9
No,Yes,178,Yes,5
Yes,No,804,No,10
No,Yes,87,Yes,9
Yes,No,1430,No,1
No,Yes,1445,Yes,10
Yes,No,1206,No,10
No,Yes,1276,Yes,0
Yes,No,1461,No,3
No,Yes,501,Yes,8
Yes,No,1165,No,2
No,Yes,275,Yes,10
Yes,No,8,No,6
No,Yes,983,Yes,7
Yes,No,338,No,0
No,Yes,731,Yes,5
Yes,No,1237,No,2
No,Yes,539,Yes,7
Yes,No,569,No,4
No,Yes,1438,Yes,10
Yes,No,700,No,7
No,Yes,1194,Yes,8
Yes,No,1205,No,3
No,Yes,1124,Yes,4
Yes,No,1066,No,4
No,Yes,1492,Yes,1
Yes,No,531,No,10
No,Yes,825,Yes,10
Yes,No,1259,No,10
No,Yes,1041,Yes,5
Yes,No,530,No,7
No,Yes,993,Yes,4
Yes,No,925,No,0
No,Yes,1188,Yes,2
Yes,No,709,No,6
No,Yes,610,Yes,10
Yes,No,772,No,8
No,Yes,1437,Yes,2
Yes,No,1161,No,6
No,Yes,1154,Yes,4
Yes,No,0,No,5
No,Yes,74,Yes,8
Yes,No,877,No,0
No,Yes,1303,Yes,0
Yes,No,972,No,5
No,Yes,1110,Yes,5
Yes,No,485,No,0
No,Yes,616,Yes,3
Yes,No,253,No,6
No,Yes,1166,Yes,3
Yes,No,299,No,1
No,Yes,431,Yes,8
Yes,No,874,No,3
No,Yes,347,Yes,2
Yes,No,715,No,5
No,Yes,245,Yes,7
Yes,No,716,No,0
No,Yes,617,Yes,2
Yes,No,166,No,2
No,Yes,199,Yes,4
Yes,No,530,No,10
No,Yes,140,Yes,7
Yes,No,494,No,3
No,Yes,1373,Yes,1
Yes,No,584,No,4
No,Yes,343,Yes,2
Yes,No,380,No,8
No,Yes,1422,Yes,2
Yes,No,745,No,6
No,Yes,890,Yes,10
Yes,No,113,No,2
No,Yes,1094,Yes,1
Yes,No,319,No,0
No,Yes,408,Yes,2
Yes,No,355,No,0
No,Yes,537,Yes,0
Yes,No,978,No,1
No,Yes,648,Yes,0
Yes,No,1048,No,6
No,Yes,908,Yes,8
Yes,No,773,No,3
No,Yes,324,Yes,9
Yes,No,309,No,7
No,Yes,943,Yes,10
Yes,No,686,No,1
No,Yes,829,Yes,7
Yes,No,1292,No,4
No,Yes,592,Yes,2
Yes,No,621,No,2
No,Yes,820,Yes,9
Yes,No,81,No,3
No,Yes,461,Yes,2
Yes,No,882,No,8
No,Yes,1452,Yes,3
Yes,No,573,No,8
No,Yes,489,Yes,10
Yes,No,214,No,9
No,Yes,129,Yes,9
Yes,No,1204,No,8
No,Yes,759,Yes,6
Yes,No,1301,No,8
No,Yes,1187,Yes,1
Yes,No,910,No,6
No,Yes,1386,Yes,9
Yes,No,917,No,10
No,Yes,1447,Yes,3
Yes,No,1384,No,10
No,Yes,1006,Yes,2
Yes,No,1122,No,10
No,Yes,1116,Yes,1
Yes,No,1002,No,6
No,Yes,845,Yes,3
Yes,No,603,No,1
No,Yes,633,Yes,4
Yes,No,276,No,7
No,Yes,548,Yes,7
Yes,No,407,No,3
No,Yes,1259,Yes,9
Yes,No,1145,No,9
No,Yes,958,Yes,4
Yes,No,1091,No,5
No,Yes,963,Yes,6
Yes,No,517,No,8
No,Yes,175,Yes,1
Yes,No,748,No,1
No,Yes,384,Yes,5
Yes,No,400,No,5
No,Yes,256,Yes,4
Yes,No,758,No,1
No,Yes,1406,Yes,1
Yes,No,711,No,3
No,Yes,626,Yes,5
Yes,No,524,No,5
No,Yes,501,Yes,8
Yes,No,1008,No,0
No,Yes,1139,Yes,6
Yes,No,1179,No,9
No,Yes,307,Yes,2
Yes,No,660,No,9
No,Yes,13,Yes,9
Yes,No,514,No,3
No,Yes,1285,Yes,10
Yes,No,1093,No,7
No,Yes,655,Yes,9
Yes,No,1173,No,5
No,Yes,278,Yes,5
Yes,No,1006,No,1
No,Yes,969,Yes,2
Yes,No,1188,No,2
No,Yes,138,Yes,5
Yes,No,794,No,5
No,Yes,227,Yes,6
Yes,No,1203,No,4
No,Yes,1005,Yes,4
Yes,No,240,No,3
No,Yes,884,Yes,2
Yes,No,1427,No,4
No,Yes,9,Yes,7
Yes,No,1390,No,4
No,Yes,1165,Yes,8
Yes,No,1140,No,4
No,Yes,502,Yes,6
Yes,No,78,No,6
No,Yes,871,Yes,6
Yes,No,834,No,9
No,Yes,858,Yes,8
Yes,No,1044,No,2
No,Yes,396,Yes,2
Yes,No,1433,No,6
No,Yes,504,Yes,6
Yes,No,503,No,8
No,Yes,697,Yes,9
Yes,No,401,No,2
No,Yes,326,Yes,10
Yes,No,1373,No,7
No,Yes,194,Yes,0
Yes,No,1355,No,5
No,Yes,189,Yes,10
Yes,No,905,No,9
No,Yes,667,Yes,10
Yes,No,1421,No,1
No,Yes,703,Yes,4
Yes,No,560,No,8
No,Yes,760,Yes,9
Yes,No,166,No,6
No,Yes,899,Yes,4
Yes,No,1491,No,1
No,Yes,302,Yes,9
Yes,No,1364,No,6
No,Yes,1237,Yes,7
Yes,No,13,No,6
No,Yes,1391,Yes,9
Yes,No,599,No,9
No,Yes,682,Yes,4
Yes,No,161,No,6
No,Yes,1193,Yes,5
Yes,No,1375,No,4
No,Yes,477,Yes,4
Yes,No,1119,No,7
No,Yes,1161,Yes,0
Yes,No,1030,No,4
No,Yes,177,Yes,7
Yes,No,1403,No,6
No,Yes,1076,Yes,2
Yes,No,1413,No,9
No,Yes,752,Yes,0
Yes,No,567,No,1
